00005471	00000	com	Open ws://192.168.1.11:81 Ctrl-X
00005603	00001	tx	[0x18]
00005620	00002	tx	[0x3F]
00005635	00003	rx	Connected
00005701	00004	rx	\r
00005702	00005	rx	Grbl 1.1f ['$' for help]\r
00005760	00006	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0|WCO:0.000,0.000,0.000>\r
00005822	00007	tx	[0x3F]
00005882	00008	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0|Ov:100,100,100>\r
00006022	00009	tx	[0x3F]
00006082	00010	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00006222	00011	tx	[0x3F]
00006282	00012	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00006422	00013	tx	[0x3F]
00006482	00014	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00006623	00015	tx	[0x3F]
00006683	00016	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00006823	00017	tx	[0x3F]
00006884	00018	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00007023	00019	tx	[0x3F]
00007095	00020	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00007223	00021	tx	[0x3F]
00007283	00022	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00007422	00023	tx	[0x3F]
00007482	00024	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00007623	00025	tx	[0x3F]
00007686	00026	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0|WCO:0.000,0.000,0.000>\r
00007823	00027	tx	[0x3F]
00007883	00028	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0|Ov:100,100,100>\r
00008023	00029	tx	[0x3F]
00008084	00030	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00008223	00031	tx	[0x3F]
00008283	00032	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00008423	00033	tx	[0x3F]
00008495	00034	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00008623	00035	tx	[0x3F]
00008682	00036	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00008824	00037	tx	[0x3F]
00008888	00038	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00009023	00039	tx	[0x3F]
00009084	00040	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00009223	00041	tx	[0x3F]
00009283	00042	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00009424	00043	tx	[0x3F]
00009495	00044	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00009623	00045	tx	[0x3F]
00009711	00046	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0|WCO:0.000,0.000,0.000>\r
00009824	00047	tx	[0x3F]
00009899	00048	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0|Ov:100,100,100>\r
00010024	00049	tx	[0x3F]
00010092	00050	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00010224	00051	tx	[0x3F]
00010285	00052	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00010424	00053	tx	[0x3F]
